file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-45.7149192574098,,,16.668949257892557
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-45.373046875,,,17.95499649424242
F2BJRLP1,0.0,25.309125,corpus,-51.29215848478862,,,12.785296210738371
F2BJRLP3,0.0,30.7068125,corpus,-51.37508140670791,,,15.823969651008804
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-46.0923828125,,,19.764247113898485
F2BJRLP2,0.0,28.6474375,corpus,-50.79811845549738,,,12.946630033949704
